subject,situation,sessionid,finalprofit,showupfee,type,period_game,aeffort,peffort,mae,varianta,variantp,period_lottery,period_lottery_del,offeraccept,offeracceptd,IV,va,vb,vc,vd,consistent,lossaversion,ioc,eopt,maeopt,cost,EV_control,EV_deleg,EV_diff,conflict,stakesize,revorder,maecontrol,peffort_control,wtp_del_control,delegation_control,variantp_control,period_control
1,1,111017_1315,59.634602,10,Principal,9,100,97,1,2,1,15,14,120,150,30,220,220,190,100,1,-1,0,60,40,94.089996,122.31,100.9,-21.409996,.75,low,0,0,,,,,
1,2,111017_1315,59.634602,10,Principal,2,0,85,1,1,1,11,8,180,120,-60,280,280,235,100,1,-1,0,90,60,72.25,180.75,101.35,-79.400002,.75,low,0,0,,,,,
1,3,111017_1315,59.634602,10,Principal,10,29,78,63,2,1,17,19,90,120,30,180,180,140,100,1,-1,0,40,40,60.84,101.56,125.2,23.639999,.5,low,0,0,,,,,
1,4,111017_1315,59.634602,10,Principal,7,44,97,77,2,1,2,10,120,140,20,220,220,160,100,1,-1,0,60,60,94.089996,122.31,146.2,23.889999,.5,low,0,0,,,,,
1,5,111017_1315,59.634602,10,Principal,3,51,97,95,2,1,3,16,150,250,100,260,260,260,100,1,-1,0,80,40,94.089996,161.11,252,90.889999,1,low,0,0,,,,,
1,6,111017_1315,59.634602,10,Principal,4,85,97,1,2,1,7,4,225,200,-25,440,440,380,200,1,-1,0,60,40,188.17999,244.62,201.8,-42.819992,.75,high,0,0,,,,,
1,7,111017_1315,59.634602,10,Principal,1,75,95,67,2,1,13,5,360,400,40,560,560,470,200,1,-1,0,90,60,180.5,361.5,380.89999,19.399994,.75,high,0,0,,,,,
1,8,111017_1315,59.634602,10,Principal,6,63,84,63,2,1,20,12,195,240,45,360,360,280,200,1,-1,0,40,40,141.12,193.28,250.39999,57.119995,.5,high,0,0,,,,,
1,9,111017_1315,59.634602,10,Principal,8,70,77,77,2,1,9,6,250,280,30,440,440,320,200,1,-1,0,60,60,118.58,266.22,292.39999,26.179993,.5,high,0,0,,,,,
1,10,111017_1315,59.634602,10,Principal,5,100,90,90,1,1,18,1,340,480,140,520,520,520,200,1,-1,0,80,40,162,326,488,162,1,high,0,0,,,,,
2,1,111017_1315,90.120003,10,Principal,9,51,67,60,2,1,8,4,100,140,40,220,220,190,100,1,3,0,60,40,44.889999,135.50999,154,18.490005,.75,low,0,0,,,,,
2,2,111017_1315,90.120003,10,Principal,2,25,30,15,2,1,9,13,130,140,10,280,280,235,100,1,3,0,90,60,9,145,120.25,-24.75,.75,low,0,0,,,,,
2,3,111017_1315,90.120003,10,Principal,10,0,42,20,2,1,18,1,130,110,-20,180,180,140,100,1,3,0,40,40,17.639999,115.96,108,-7.9599991,.5,low,0,0,,,,,
2,4,111017_1315,90.120003,10,Principal,7,80,69,65,2,1,6,12,120,140,20,220,220,160,100,1,3,0,60,60,47.610001,135.19,139,3.8099976,.5,low,0,0,,,,,
2,5,111017_1315,90.120003,10,Principal,3,41,50,1,2,1,11,19,180,120,-60,260,260,260,100,1,3,0,80,40,25,155,101.6,-53.400002,1,low,0,0,,,,,
2,6,111017_1315,90.120003,10,Principal,4,100,72,70,2,1,20,15,285,300,15,440,440,380,200,1,3,0,60,40,103.68,269.12,326,56.880005,.75,high,0,0,,,,,
2,7,111017_1315,90.120003,10,Principal,1,100,76,50,2,1,17,2,270,340,70,560,560,470,200,1,3,0,90,60,115.52,358.07999,335,-23.079987,.75,high,0,0,,,,,
2,8,111017_1315,90.120003,10,Principal,6,80,67,70,2,1,3,5,210,250,40,360,360,280,200,1,3,0,40,40,89.779999,217.42,256,38.580002,.5,high,0,0,,,,,
2,9,111017_1315,90.120003,10,Principal,8,60,65,70,2,1,10,16,300,290,-10,440,440,320,200,1,3,0,60,60,84.5,271.5,284,12.5,.5,high,0,0,,,,,
2,10,111017_1315,90.120003,10,Principal,5,60,90,1,1,1,7,14,340,240,-100,520,520,520,200,1,3,0,80,40,162,326,203.2,-122.8,1,high,0,0,,,,,
3,1,111017_1315,54.099998,10,Principal,9,69,77,58,2,2,7,6,70,140,70,220,220,190,100,1,3,0,60,40,59.290001,110.01,152.2,42.189995,.75,low,0,0,,,,,
3,2,111017_1315,54.099998,10,Principal,2,60,40,60,2,1,3,9,160,160,0,280,280,235,100,1,3,0,90,60,16,156,181,25,.75,low,0,0,,,,,
3,3,111017_1315,54.099998,10,Principal,10,40,60,76,2,1,20,14,88,110,22,180,180,140,100,1,3,0,40,40,36,112,130.39999,18.399994,.5,low,0,0,,,,,
3,4,111017_1315,54.099998,10,Principal,7,0,2,35,2,1,15,10,150,148,-2,220,220,160,100,1,3,0,60,60,.039999999,102.36,121,18.639999,.5,low,0,0,,,,,
3,5,111017_1315,54.099998,10,Principal,3,50,20,10,2,2,16,5,250,120,-130,260,260,260,100,1,3,0,80,40,4,128,116,-12,1,low,0,0,,,,,
3,6,111017_1315,54.099998,10,Principal,4,50,30,75,2,1,19,18,330,230,-100,440,440,380,200,1,3,0,60,40,18,254,335,81,.75,high,0,0,,,,,
3,7,111017_1315,54.099998,10,Principal,1,55,38,40,2,1,11,4,276,350,74,560,560,470,200,1,3,0,90,60,28.879999,307.92001,308,.079986572,.75,high,0,0,,,,,
3,8,111017_1315,54.099998,10,Principal,6,80,54,80,2,1,12,1,150,240,90,360,360,280,200,1,3,0,40,40,58.32,228.08,264,35.919998,.5,high,0,0,,,,,
3,9,111017_1315,54.099998,10,Principal,8,77,60,80,2,1,13,8,280,218,-62,440,440,320,200,1,3,0,60,60,72,272,296,24,.5,high,0,0,,,,,
3,10,111017_1315,54.099998,10,Principal,5,50,50,40,2,1,17,2,370,300,-70,520,520,520,200,1,3,0,80,40,50,310,328,18,1,high,0,0,,,,,
4,1,111017_1315,40.139999,10,Principal,9,0,90,1,2,1,7,17,135,100,-35,220,220,190,100,1,3,0,60,40,81,127,100.9,-26.099998,.75,low,0,0,,,,,
4,2,111017_1315,40.139999,10,Principal,2,84,79,1,2,1,18,6,150,100,-50,280,280,235,100,1,3,0,90,60,62.41,179.78999,101.35,-78.439995,.75,low,0,0,,,,,
4,3,111017_1315,40.139999,10,Principal,10,50,0,1,2,1,9,8,100,140,40,180,180,140,100,1,3,0,40,40,0,100,100.4,.40000153,.5,low,0,0,,,,,
4,4,111017_1315,40.139999,10,Principal,7,90,90,1,2,1,5,19,135,160,25,220,220,160,100,1,3,0,60,60,81,127,100.6,-26.400002,.5,low,0,0,,,,,
4,5,111017_1315,40.139999,10,Principal,3,100,89,1,1,1,20,12,165,260,95,260,260,260,100,1,3,0,80,40,79.209999,163.19,101.6,-61.590004,1,low,0,0,,,,,
4,6,111017_1315,40.139999,10,Principal,4,79,89,1,2,1,3,4,275,380,105,440,440,380,200,1,3,0,60,40,158.42,255.17999,201.8,-53.37999,.75,high,0,0,,,,,
4,7,111017_1315,40.139999,10,Principal,1,50,90,1,2,1,1,14,380,200,-180,560,560,470,200,1,3,0,90,60,162,362,202.7,-159.3,.75,high,0,0,,,,,
4,8,111017_1315,40.139999,10,Principal,6,51,89,1,2,1,10,13,200,200,0,360,360,280,200,1,3,0,40,40,158.42,183.98,200.8,16.820007,.5,high,0,0,,,,,
4,9,111017_1315,40.139999,10,Principal,8,75,75,1,2,1,2,16,200,200,0,440,440,320,200,1,3,0,60,60,112.5,267.5,201.2,-66.300003,.5,high,0,0,,,,,
4,10,111017_1315,40.139999,10,Principal,5,1,80,1,2,1,11,15,300,200,-100,520,520,520,200,1,3,0,80,40,128,328,203.2,-124.8,1,high,0,0,,,,,
5,1,111017_1315,81.947197,10,Principal,9,0,64,49,2,1,3,16,125,150,25,220,220,190,100,1,3,12,60,40,40.959999,135.84,144.10001,8.2600098,.75,low,0,0,,,,,
5,2,111017_1315,81.947197,10,Principal,2,0,55,67,2,1,5,7,101,220,119,280,280,235,100,1,3,12,90,60,30.25,168.75,190.45,21.699997,.75,low,0,0,,,,,
5,3,111017_1315,81.947197,10,Principal,10,75,51,64,2,1,19,11,100,110,10,180,180,140,100,1,3,12,40,40,26.01,114.79,125.6,10.809998,.5,low,0,0,,,,,
5,4,111017_1315,81.947197,10,Principal,7,50,66,84,2,1,13,2,90,125,35,220,220,160,100,1,3,12,60,60,43.560001,135.64,150.39999,14.759995,.5,low,0,0,,,,,
5,5,111017_1315,81.947197,10,Principal,3,44,95,1,2,2,6,18,120,120,0,260,260,260,100,1,3,12,80,40,90.25,161.75,101.6,-60.150002,1,low,0,0,,,,,
5,6,111017_1315,81.947197,10,Principal,4,75,85,90,2,1,15,10,200,370,170,440,440,380,200,1,3,12,60,40,144.5,259.5,362,102.5,.75,high,0,0,,,,,
5,7,111017_1315,81.947197,10,Principal,1,50,88,81,2,1,8,1,300,460,160,560,560,470,200,1,3,12,90,60,154.88,361.92001,418.70001,56.779999,.75,high,0,0,,,,,
5,8,111017_1315,81.947197,10,Principal,6,80,70,71,2,1,4,17,200,240,40,360,360,280,200,1,3,12,40,40,98,214,256.79999,42.799988,.5,high,0,0,,,,,
5,9,111017_1315,81.947197,10,Principal,8,80,63,63,2,1,20,12,270,250,-20,440,440,320,200,1,3,12,60,60,79.379997,271.82001,275.60001,3.7799988,.5,high,0,0,,,,,
5,10,111017_1315,81.947197,10,Principal,5,74,86,80,2,1,14,9,210,320,110,520,520,520,200,1,3,12,80,40,147.92,327.28,456,128.72,1,high,0,0,,,,,
6,1,111017_1315,57.1572,10,Principal,9,50,20,30,2,1,16,5,140,130,-10,220,220,190,100,1,2,0,60,40,4,120,127,7,.75,low,0,0,,,,,
6,2,111017_1315,57.1572,10,Principal,2,70,10,1,2,1,12,6,99,100,1,280,280,235,100,1,2,0,90,60,1,117,101.35,-15.650002,.75,low,0,0,,,,,
6,3,111017_1315,57.1572,10,Principal,10,20,0,1,2,1,14,19,100,100,0,180,180,140,100,1,2,0,40,40,0,100,100.4,.40000153,.5,low,0,0,,,,,
6,4,111017_1315,57.1572,10,Principal,7,51,40,50,2,1,1,11,145,140,-5,220,220,160,100,1,2,0,60,60,16,132,130,-2,.5,low,0,0,,,,,
6,5,111017_1315,57.1572,10,Principal,3,90,0,1,2,1,20,2,100,100,0,260,260,260,100,1,2,0,80,40,0,100,101.6,1.5999985,1,low,0,0,,,,,
6,6,111017_1315,57.1572,10,Principal,4,0,48,30,2,1,9,10,260,310,50,440,440,380,200,1,2,0,60,40,46.080002,269.12,254,-15.119995,.75,high,0,0,,,,,
6,7,111017_1315,57.1572,10,Principal,1,80,50,40,2,1,8,3,450,400,-50,560,560,470,200,1,2,0,90,60,50,330,308,-22,.75,high,0,0,,,,,
6,8,111017_1315,57.1572,10,Principal,6,0,20,32,2,1,15,7,260,220,-40,360,360,280,200,1,2,0,40,40,8,224,225.60001,1.6000061,.5,high,0,0,,,,,
6,9,111017_1315,57.1572,10,Principal,8,47,38,40,2,1,17,13,300,270,-30,440,440,320,200,1,2,0,60,60,28.879999,262.32001,248,-14.320007,.5,high,0,0,,,,,
6,10,111017_1315,57.1572,10,Principal,5,0,100,1,1,1,4,18,320,200,-120,520,520,520,200,1,2,0,80,40,200,320,203.2,-116.8,1,high,0,0,,,,,
7,1,111017_1315,62.639999,10,Principal,9,40,55,60,1,1,17,9,100,150,50,220,220,190,100,0,-1,0,60,40,30.25,135.75,154,18.25,.75,low,0,0,,,,,
7,2,111017_1315,62.639999,10,Principal,2,66,55,55,2,1,15,8,150,170,20,280,280,235,100,0,-1,0,90,60,30.25,168.75,174.25,5.5,.75,low,0,0,,,,,
7,3,111017_1315,62.639999,10,Principal,10,70,61,63,2,1,14,2,100,130,30,180,180,140,100,0,-1,0,40,40,37.209999,111.59,125.2,13.610001,.5,low,0,0,,,,,
7,4,111017_1315,62.639999,10,Principal,7,45,81,85,2,1,6,19,120,150,30,220,220,160,100,0,-1,0,60,60,65.610001,131.59,151,19.410004,.5,low,0,0,,,,,
7,5,111017_1315,62.639999,10,Principal,3,0,100,70,2,1,1,11,160,180,20,260,260,260,100,0,-1,0,80,40,100,160,212,52,1,low,0,0,,,,,
7,6,111017_1315,62.639999,10,Principal,4,50,72,80,2,1,5,13,220,330,110,440,440,380,200,0,-1,0,60,40,103.68,269.12,344,74.880005,.75,high,0,0,,,,,
